Tamano,Modelo,Escenario,FO_Global,FO_Ordenes,FO_Costo,FO_ANS,FO_Fairness,FO_Prioridad,FO_Distancia,Tiempo
Small,Pyomo,S10_E1O3D2H5S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968761920928955
Small,Pyomo,S1_E1O2D1H6S2,-0.3349999999999994,1.0,15.0,8.0,0.5,3.0,42.0,0.7500038146972656
Small,Pyomo,S2_E2O2D1H6S1,-0.813999999999999,2.0,14.0,5.0,0.4,4.0,94.0,5.021111726760864
Small,Pyomo,S3_E3O3D2H5S1,-0.122999999999997,3.0,39.0,7.0,0.3,7.0,234.0,100.57867240905762
Small,Pyomo,S4_E2O3D1H4S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2343745231628418
Small,Pyomo,S5_E1O3D1H4S1,-0.5449999999999996,1.0,11.0,0.0,0.5,2.0,32.0,0.5468752384185791
Small,Pyomo,S6_E2O2D2H8S1,-0.5139999999999987,2.0,16.0,7.0,0.4,6.0,122.0,83.37358117103577
Small,Pyomo,S7_E2O3D2H7S1,-0.40249999999999947,1.0,10.0,0.0,0.25,5.0,50.0,124.13027691841125
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125033378601074
Small,Pyomo,S9_E2O3D2H7S2,-0.6124999999999996,1.0,10.0,0.0,0.25,2.0,26.0,71.9840784072876
Small,Gurobi,S10_E1O3D2H5S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015628576278686523
Small,Gurobi,S1_E1O2D1H6S2,-0.3349999999999994,1.0,15.0,8.0,0.5,3.0,42.0,0.0
Small,Gurobi,S2_E2O2D1H6S1,-0.813999999999999,2.0,14.0,5.0,0.4,4.0,94.0,0.015619277954101562
Small,Gurobi,S3_E3O3D2H5S1,-0.122999999999997,3.0,39.0,7.0,0.3,7.0,234.0,0.10936641693115234
Small,Gurobi,S4_E2O3D1H4S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small,Gurobi,S5_E1O3D1H4S1,-0.5449999999999996,1.0,11.0,0.0,0.5,2.0,32.0,0.015628337860107422
Small,Gurobi,S6_E2O2D2H8S1,-0.5139999999999987,2.0,16.0,7.0,0.4,6.0,122.0,0.09374809265136719
Small,Gurobi,S7_E2O3D2H7S1,-0.40249999999999947,1.0,10.0,0.0,0.25,5.0,50.0,0.12499284744262695
Small,Gurobi,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01562666893005371
Small,Gurobi,S9_E2O3D2H7S2,-0.6124999999999996,1.0,10.0,0.0,0.25,2.0,26.0,0.06249594688415527
Small,DEAP,S10_E1O3D2H5S1,0.9200000002500026,2.0,30.0,5.0,0.9999999750000006,8.0,256.0,6.419534683227539
Small,DEAP,S1_E1O2D1H6S2,0.39000000100000115,1.0,15.0,0.0,0.9999999000000099,4.0,124.0,5.270884990692139
Small,DEAP,S2_E2O2D1H6S1,-0.789999999499999,2.0,17.0,5.0,0.9999999500000024,4.0,94.0,5.213457345962524
Small,DEAP,S3_E3O3D2H5S1,0.9440000001200037,3.0,34.0,11.0,0.5999999880000002,7.0,342.0,7.150051116943359
Small,DEAP,S4_E2O3D1H4S1,1.0000000005000027,2.0,34.0,0.0,0.9999999500000024,9.0,266.0,5.681886434555054
Small,DEAP,S5_E1O3D1H4S1,0.08000000100000086,1.0,11.0,0.0,0.9999999000000099,2.0,95.0,5.5395121574401855
Small,DEAP,S6_E2O2D2H8S1,-0.47499999987499864,2.0,16.0,11.0,0.4999999875000003,6.0,122.0,5.3202526569366455
Small,DEAP,S7_E2O3D2H7S1,1.7210000001800039,3.0,35.0,9.0,0.8999999820000003,11.0,425.0,6.156246185302734
Small,DEAP,S8_E2O2D1H8S1,1.280000000500003,2.0,29.0,4.0,0.9999999500000024,6.0,292.0,5.995172739028931
Small,DEAP,S9_E2O3D2H7S2,0.2910000001800034,3.0,36.0,0.0,0.8999999820000003,9.0,288.0,7.896562814712524
Medium,Pyomo,M10_E4O5D2H7S1,-0.7022499999999979,3.0,39.0,9.0,0.225,7.0,174.0,12038.291476011276
Medium,Pyomo,M1_E4O4D2H8S2,-0.46363636363636096,4.0,45.0,17.0,0.36363636363636365,12.0,284.0,4183.783957004547
Medium,Pyomo,M2_E3O2D2H5S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6559557914733887
Medium,Pyomo,M3_E5O4D1H4S2,-2.032999999999999,3.0,23.0,0.0,0.3,7.0,66.0,8.815310955047607
Medium,Pyomo,M4_E5O4D1H6S2,-0.13179999999999767,3.0,45.0,9.0,0.18,8.0,226.0,299.30092573165894
Medium,Pyomo,M5_E3O3D1H5S1,-0.07166666666666584,1.0,8.0,3.0,0.16666666666666666,1.0,78.0,6.997928857803345
Medium,Pyomo,M6_E3O4D2H8S2,-0.06299999999999739,3.0,42.0,14.0,0.3,9.0,232.0,2393.090176343918
Medium,Pyomo,M7_E3O5D3H6S1,-0.6329999999999981,3.0,33.0,13.0,0.3,8.0,184.0,10597.407479763031
Medium,Pyomo,M8_E4O2D3H7S1,-0.13199999999999834,2.0,20.0,4.0,0.2,5.0,158.0,270.6603503227234
Medium,Pyomo,M9_E2O3D3H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.1531739234924
Medium,Gurobi,M10_E4O5D2H7S1,-0.7022499999999979,3.0,39.0,9.0,0.225,7.0,174.0,1.7622401714324951
Medium,Gurobi,M1_E4O4D2H8S2,-0.46363636363636096,4.0,45.0,17.0,0.36363636363636365,12.0,284.0,1.7343385219573975
Medium,Gurobi,M2_E3O2D2H5S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260007381439209
Medium,Gurobi,M3_E5O4D1H4S2,-2.032999999999999,3.0,23.0,0.0,0.3,7.0,66.0,0.03500485420227051
Medium,Gurobi,M4_E5O4D1H6S2,-0.13179999999999767,3.0,45.0,9.0,0.18,8.0,226.0,0.07300448417663574
Medium,Gurobi,M5_E3O3D1H5S1,-0.07166666666666584,1.0,8.0,3.0,0.16666666666666666,1.0,78.0,0.021001100540161133
Medium,Gurobi,M6_E3O4D2H8S2,-0.06299999999999739,3.0,42.0,14.0,0.3,9.0,232.0,0.2909963130950928
Medium,Gurobi,M7_E3O5D3H6S1,-0.6329999999999981,3.0,33.0,13.0,0.3,8.0,184.0,3.5029523372650146
Medium,Gurobi,M8_E4O2D3H7S1,-0.13199999999999834,2.0,20.0,4.0,0.2,5.0,158.0,0.21195316314697266
Medium,Gurobi,M9_E2O3D3H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14061808586120605
Medium,DEAP,M10_E4O5D2H7S1,2.2533333334444503,4.0,50.0,8.0,0.6666666555555557,10.0,558.0,126.16093492507935
Medium,DEAP,M1_E4O4D2H8S2,1.225500000090004,3.0,26.0,19.0,0.44999999100000015,10.0,373.0,30.661158084869385
Medium,DEAP,M2_E3O2D2H5S2,1.2766666667500028,2.0,24.0,4.0,0.33333332500000024,6.0,296.0,5.556849479675293
Medium,DEAP,M3_E5O4D1H4S2,0.23600000020000197,2.0,16.0,5.0,0.3999999800000009,9.0,202.0,34.58065605163574
Medium,DEAP,M4_E5O4D1H6S2,1.1640000002000035,3.0,29.0,5.0,0.5999999800000005,11.0,379.0,47.74829363822937
Medium,DEAP,M5_E3O3D1H5S1,0.4233333336666688,2.0,17.0,15.0,0.6666666333333349,5.0,206.0,6.542531728744507
Medium,DEAP,M6_E3O4D2H8S2,2.1911111112592647,4.0,59.0,23.0,0.8888888740740744,14.0,532.0,409.9043040275574
Medium,DEAP,M7_E3O5D3H6S1,0.3546666667200034,4.0,46.0,5.0,0.5333333280000001,11.0,376.0,199.46410512924194
Medium,DEAP,M8_E4O2D3H7S1,-0.09499999974999832,2.0,20.0,8.0,0.4999999750000012,5.0,158.0,7.092430114746094
Medium,DEAP,M9_E2O3D3H8S1,1.90500000005556,3.0,48.0,15.0,0.49999999444444454,11.0,424.0,10.229282855987549
Large,Pyomo,L10_E6O5D3H4S2,-0.2708333333333327,1.0,13.0,5.0,0.08333333333333333,4.0,54.0,7768.5390458106995
Large,Pyomo,L1_E6O5D1H5S2,-1.1224999999999983,3.0,33.0,10.0,0.25,6.0,136.0,756.3445043563843
Large,Pyomo,L2_E5O5D1H8S1,-0.2417999999999971,3.0,18.0,20.0,0.18,9.0,232.0,5629.237309455872
Large,Pyomo,L3_E6O5D1H4S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890625
Large,Pyomo,L4_E5O5D2H5S2,-0.5918823529411732,4.0,44.0,22.0,0.18823529411764706,11.0,266.0,5043.13508605957
Large,Pyomo,L5_E6O5D1H7S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.9023571014404
Large,Pyomo,L6_E6O5D1H4S1,-0.3713333333333319,2.0,18.0,0.0,0.13333333333333333,7.0,142.0,140.6296968460083
Large,Pyomo,L7_E5O5D1H8S1,-1.221882352941174,4.0,36.0,10.0,0.18823529411764706,14.0,226.0,7228.714910268784
Large,Pyomo,L8_E5O5D1H5S1,-0.23179999999999776,3.0,33.0,10.0,0.18,9.0,228.0,440.89573645591736
Large,Pyomo,L9_E5O5D1H4S1,-0.001599999999998225,2.0,20.0,9.0,0.16,7.0,168.0,25.37778091430664
Large,Gurobi,L10_E6O5D3H4S2,-0.2708333333333327,1.0,13.0,5.0,0.08333333333333333,4.0,54.0,0.29686975479125977
Large,Gurobi,L1_E6O5D1H5S2,-1.1224999999999983,3.0,33.0,10.0,0.25,6.0,136.0,0.28123903274536133
Large,Gurobi,L2_E5O5D1H8S1,-0.2417999999999971,3.0,18.0,20.0,0.18,9.0,232.0,0.37499308586120605
Large,Gurobi,L3_E6O5D1H4S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687213897705078
Large,Gurobi,L4_E5O5D2H5S2,-0.5918823529411732,4.0,44.0,22.0,0.18823529411764706,11.0,266.0,1.0468697547912598
Large,Gurobi,L5_E6O5D1H7S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18749141693115234
Large,Gurobi,L6_E6O5D1H4S1,-0.3713333333333319,2.0,18.0,0.0,0.13333333333333333,7.0,142.0,0.1718764305114746
Large,Gurobi,L7_E5O5D1H8S1,-1.221882352941174,4.0,36.0,10.0,0.18823529411764706,14.0,226.0,6.687497138977051
Large,Gurobi,L8_E5O5D1H5S1,-0.23179999999999776,3.0,33.0,10.0,0.18,9.0,228.0,0.09376192092895508
Large,Gurobi,L9_E5O5D1H4S1,-0.001599999999998225,2.0,20.0,9.0,0.16,7.0,168.0,0.046872854232788086
Large,DEAP,L10_E6O5D3H4S2,1.8262121212465627,5.0,59.0,23.0,0.3787878753443527,18.0,594.0,1017.762237071991
Large,DEAP,L1_E6O5D1H5S2,0.6550000001666699,3.0,35.0,10.0,0.4999999833333339,8.0,314.0,268.690593957901
Large,DEAP,L2_E5O5D1H8S1,1.7440000002000053,3.0,19.0,15.0,0.5999999800000005,13.0,439.0,288.77501606941223
Large,DEAP,L3_E6O5D1H4S3,0.016666666833335116,2.0,22.0,4.0,0.33333331666666743,6.0,172.0,296.2363266944885
Large,DEAP,L4_E5O5D2H5S2,1.486000000050005,4.0,46.0,17.0,0.399999995,12.0,478.0,499.6084680557251
Large,DEAP,L5_E6O5D1H7S1,3.6616666668333413,5.0,67.0,13.0,0.833333316666667,17.0,779.0,436.4450659751892
Large,DEAP,L6_E6O5D1H4S1,0.6750000001666704,3.0,32.0,0.0,0.4999999833333339,14.0,335.0,191.6640830039978
Large,DEAP,L7_E5O5D1H8S1,0.2140000002000033,3.0,30.0,10.0,0.5999999800000005,12.0,279.0,147.72646808624268
Large,DEAP,L8_E5O5D1H5S1,2.0320000002000054,4.0,51.0,5.0,0.7999999800000004,12.0,540.0,382.8585546016693
Large,DEAP,L9_E5O5D1H4S1,0.9140000002000035,3.0,26.0,14.0,0.5999999800000005,9.0,346.0,87.9458978176117
Small,Pyomo,S1_E1O2D1H6S2,-0.3349999999999994,1.0,15.0,8.0,0.5,3.0,42.0,0.16300010681152344
Small,Pyomo,S2_E2O2D1H6S1,-0.813999999999999,2.0,14.0,5.0,0.4,4.0,94.0,0.23200273513793945
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32199811935424805
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.2090010643005371
